date,vendor,category,amount
2025-12-01,vendor_2,Travel,563.71
2025-11-08,vendor_24,Office,197.54
2025-01-18,vendor_6,Equipment,1104.21
2025-02-02,vendor_32,Software,242.22
2025-01-12,vendor_5,Software,751.78
2025-06-21,vendor_9,Equipment,691.67
2025-08-01,vendor_34,Office,25.59
2025-04-12,vendor_18,Contractors,750.56
2025-02-28,vendor_31,Contractors,1029.48
2025-04-15,vendor_22,Equipment,1104.18
2025-06-13,vendor_24,Contractors,1181.89
2025-01-29,vendor_6,Travel,979.53
2025-04-25,vendor_32,Meals,728.87
2025-04-17,vendor_25,Equipment,508.55
2025-04-25,vendor_4,Office,55.21
2025-09-22,vendor_28,Travel,42.46
2025-03-01,vendor_29,Meals,855.55
2025-04-19,vendor_5,Office,394.24
2025-11-17,vendor_24,Software,168.71
2025-10-07,vendor_3,Software,837.85
2025-03-04,vendor_20,Office,1190.29
2025-04-06,vendor_22,Software,39.56
2025-12-24,vendor_23,Meals,169.75
2025-07-26,vendor_17,Contractors,1058.85
2025-07-13,vendor_25,Software,342.36
2025-09-17,vendor_6,Software,721.59
2025-04-17,vendor_26,Travel,1006.77
2025-03-10,vendor_7,Software,722.94
2025-03-25,vendor_35,Contractors,319.32
2025-08-12,vendor_21,Meals,673.18
2025-05-23,vendor_27,Office,876.41
2025-10-02,vendor_28,Meals,914.94
2025-12-21,vendor_17,Software,627.21
2025-12-06,vendor_14,Software,959.31
2025-07-07,vendor_16,Travel,131.0
2025-10-05,vendor_7,Contractors,486.11
2025-09-03,vendor_6,Travel,1154.63
2025-04-06,vendor_36,Equipment,255.46
2025-11-06,vendor_36,Contractors,270.33
2025-05-04,vendor_26,Travel,885.52
2025-11-13,vendor_15,Meals,630.08
2025-02-01,vendor_21,Office,882.74
2025-10-09,vendor_23,Contractors,143.45
2025-10-08,vendor_34,Contractors,1041.38
2025-10-15,vendor_4,Meals,261.19
2025-06-05,vendor_9,Office,47.31
2025-12-19,vendor_15,Contractors,868.79
2025-12-02,vendor_25,Contractors,485.66
2025-04-25,vendor_24,Travel,705.57
2025-05-19,vendor_23,Travel,730.09
2025-12-03,vendor_19,Meals,252.16
2025-05-02,vendor_30,Travel,485.05
2025-02-17,vendor_7,Equipment,827.78
2025-01-17,vendor_29,Travel,1146.78
2025-03-29,vendor_4,Equipment,909.14
2025-07-30,vendor_19,Contractors,348.17
2025-03-14,vendor_8,Contractors,635.97
2025-01-21,vendor_5,Travel,326.14
2025-01-17,vendor_19,Software,1152.01
2025-03-30,vendor_35,Meals,604.7
2025-02-09,vendor_10,Equipment,367.83
2025-04-23,vendor_31,Office,1054.52
2025-11-21,vendor_39,Software,1179.19
2025-05-08,vendor_16,Contractors,104.75
2025-02-19,vendor_12,Contractors,672.42
2025-06-03,vendor_29,Software,1018.04
2025-08-11,vendor_22,Travel,215.07
2025-01-30,vendor_5,Equipment,209.17
2025-11-03,vendor_23,Travel,887.45
2025-09-24,vendor_33,Equipment,458.08
2025-05-26,vendor_30,Software,931.38
2025-01-16,vendor_16,Equipment,1131.02
