invoice_id,client,issue_date,due_date,amount,paid_date
INV-1000,Globex,2025-08-23,2025-09-22,2100.0,
INV-1001,Umbrella,2025-07-02,2025-08-01,2600.0,2025-08-17
INV-1002,Initech,2025-09-05,2025-10-05,3850.0,2025-10-09
INV-1003,Wayne LLC,2025-07-11,2025-08-10,5450.0,2025-08-09
INV-1004,Initech,2025-08-24,2025-09-23,2550.0,
INV-1005,Wayne LLC,2025-09-08,2025-10-08,3600.0,2025-10-22
INV-1006,Acme Co,2025-05-23,2025-06-22,3600.0,2025-06-21
INV-1007,Umbrella,2025-12-15,2026-01-14,5250.0,2026-01-10
INV-1008,Wayne LLC,2025-05-17,2025-06-16,3400.0,2025-06-19
INV-1009,Globex,2025-02-16,2025-03-18,1300.0,2025-03-21
INV-1010,Acme Co,2025-03-12,2025-04-11,3700.0,2025-04-30
INV-1011,Globex,2025-08-10,2025-09-09,5400.0,2025-09-26
INV-1012,Umbrella,2025-12-01,2025-12-31,5850.0,2026-01-19
INV-1013,Wayne LLC,2025-04-10,2025-05-10,2600.0,2025-05-19
INV-1014,Wayne LLC,2025-04-24,2025-05-24,5450.0,2025-06-12
INV-1015,Initech,2025-09-17,2025-10-17,1900.0,2025-10-12
INV-1016,Globex,2025-04-15,2025-05-15,5250.0,2025-05-14
INV-1017,Wayne LLC,2025-02-24,2025-03-26,2600.0,2025-03-22
INV-1018,Umbrella,2025-07-15,2025-08-14,2100.0,
INV-1019,Wayne LLC,2025-08-10,2025-09-09,3100.0,
INV-1020,Umbrella,2025-06-16,2025-07-16,3850.0,
INV-1021,Globex,2025-08-23,2025-09-22,5500.0,2025-10-06
INV-1022,Globex,2025-03-01,2025-03-31,3750.0,2025-03-28
INV-1023,Umbrella,2025-04-22,2025-05-22,5800.0,2025-05-29
INV-1024,Wayne LLC,2025-02-18,2025-03-20,950.0,2025-04-07
INV-1025,Acme Co,2025-04-13,2025-05-13,1000.0,2025-05-14
INV-1026,Globex,2025-12-10,2026-01-09,3150.0,2026-01-16
INV-1027,Wayne LLC,2025-01-17,2025-02-16,1050.0,2025-02-13
INV-1028,Wayne LLC,2025-09-29,2025-10-29,1100.0,2025-11-10
INV-1029,Initech,2025-12-08,2026-01-07,2350.0,2026-01-11
INV-1030,Globex,2025-02-22,2025-03-24,800.0,
INV-1031,Acme Co,2025-02-09,2025-03-11,1650.0,2025-03-12
INV-1032,Globex,2025-06-20,2025-07-20,950.0,2025-07-28
INV-1033,Wayne LLC,2025-09-30,2025-10-30,3250.0,2025-10-30
INV-1034,Globex,2025-04-23,2025-05-23,3900.0,2025-06-08
INV-1035,Globex,2025-08-27,2025-09-26,2550.0,2025-09-27
