date,description,amount
01/01/2025,RENT,-2100.0
01/02/2025,PLANET FITNESS,-39.0
01/03/2025,DOORDASH,-12.28
01/03/2025,ZELLE TRANSFER,-97.37
01/03/2025,SAFEWAY,-145.77
01/04/2025,SAFEWAY,-168.28
01/05/2025,NETFLIX,-15.49
01/08/2025,SPOTIFY,-11.99
01/10/2025,PG&E,-147.4
01/11/2025,SHELL,-66.14
01/12/2025,COMCAST,-79.99
01/12/2025,BEST BUY,-91.57
01/14/2025,TRADER JOES,-131.58
01/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
01/16/2025,AMAZON,-51.26
01/17/2025,CHIPOTLE,-23.22
01/18/2025,ATT,-65.0
01/24/2025,SAFEWAY,-92.06
01/24/2025,TARGET,-190.02
01/24/2025,CHEVRON,-73.83
01/24/2025,AMAZON,-124.68
01/25/2025,DOORDASH,-63.13
01/27/2025,BLUE BOTTLE,-50.32
01/27/2025,WHOLEFDS,-176.1
01/31/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
02/01/2025,AMZN Mktp,-65.43
02/01/2025,RENT,-2100.0
02/02/2025,PLANET FITNESS,-39.0
02/03/2025,CHEVRON,-47.16
02/03/2025,TRADER JOES,-153.16
02/04/2025,CHIPOTLE,-39.56
02/05/2025,NETFLIX,-15.49
02/05/2025,COSTCO,-132.04
02/06/2025,BLUE BOTTLE,-52.55
02/07/2025,ZELLE TRANSFER,-123.4
02/08/2025,SPOTIFY,-11.99
02/09/2025,STARBUCKS,-17.36
02/10/2025,PG&E,-82.99
02/12/2025,AMAZON,-28.7
02/12/2025,COMCAST,-79.99
02/13/2025,COSTCO,-82.0
02/13/2025,AMZN Mktp,-215.55
02/13/2025,STARBUCKS,-15.67
02/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
02/16/2025,SAFEWAY,-89.94
02/17/2025,CHEVRON,-57.14
02/18/2025,ATT,-65.0
02/20/2025,TRADER JOES,-56.31
02/20/2025,DOORDASH,-46.11
02/20/2025,BLUE BOTTLE,-8.49
02/23/2025,CHIPOTLE,-60.31
02/24/2025,CHEVRON,-65.6
02/28/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
03/01/2025,RENT,-2100.0
03/02/2025,PLANET FITNESS,-39.0
03/05/2025,NETFLIX,-15.49
03/06/2025,WHOLEFDS,-135.58
03/08/2025,SPOTIFY,-11.99
03/10/2025,CHEVRON,-38.51
03/10/2025,PG&E,-136.19
03/11/2025,AMAZON,-241.05
03/12/2025,BEST BUY,-179.43
03/12/2025,SHELL,-60.21
03/12/2025,COMCAST,-79.99
03/13/2025,TRADER JOES,-23.63
03/14/2025,DOORDASH,-42.5
03/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
03/15/2025,DOORDASH,-42.5
03/16/2025,DOORDASH,-37.89
03/18/2025,SAFEWAY,-126.29
03/18/2025,ATT,-65.0
03/22/2025,CHIPOTLE,-18.81
03/24/2025,ZELLE TRANSFER,-244.69
03/25/2025,TRADER JOES,-150.24
03/28/2025,DOORDASH,-18.2
03/31/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
04/01/2025,RENT,-2100.0
04/01/2025,COSTCO,-135.11
04/02/2025,PLANET FITNESS,-39.0
04/03/2025,WHOLEFDS,-164.42
04/04/2025,TRADER JOES,-52.38
04/05/2025,STARBUCKS,-19.43
04/05/2025,NETFLIX,-15.49
04/08/2025,SPOTIFY,-11.99
04/09/2025,CHEVRON,-58.24
04/09/2025,SHELL,-73.34
04/10/2025,PG&E,-141.69
04/12/2025,COMCAST,-79.99
04/13/2025,CHIPOTLE,-47.13
04/13/2025,STARBUCKS,-30.1
04/14/2025,SHELL,-58.64
04/15/2025,DOORDASH,-14.93
04/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
04/15/2025,AMZN Mktp,-34.44
04/17/2025,WHOLEFDS,-157.06
04/18/2025,ATT,-65.0
04/19/2025,STARBUCKS,-13.66
04/20/2025,BLUE BOTTLE,-10.79
04/22/2025,TRADER JOES,-112.68
04/24/2025,AMZN Mktp,-130.32
04/24/2025,TRADER JOES,-63.56
04/30/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
05/01/2025,RENT,-2100.0
05/02/2025,PLANET FITNESS,-39.0
05/04/2025,DOORDASH,-26.84
05/05/2025,NETFLIX,-15.49
05/08/2025,SPOTIFY,-11.99
05/08/2025,SHELL,-57.19
05/10/2025,PG&E,-127.17
05/10/2025,ZELLE TRANSFER,-284.01
05/12/2025,COSTCO,-163.39
05/12/2025,COMCAST,-79.99
05/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
05/15/2025,CHEVRON,-47.69
05/17/2025,SHELL,-68.19
05/17/2025,WHOLEFDS,-108.65
05/17/2025,TRADER JOES,-62.72
05/18/2025,ATT,-65.0
05/21/2025,BLUE BOTTLE,-15.22
05/21/2025,STARBUCKS,-56.71
05/24/2025,DOORDASH,-23.42
05/27/2025,TRADER JOES,-23.46
05/30/2025,TRADER JOES,-103.31
05/30/2025,TARGET,-136.04
05/31/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
06/01/2025,STARBUCKS,-63.68
06/01/2025,RENT,-2100.0
06/01/2025,BLUE BOTTLE,-24.15
06/01/2025,TARGET,-43.63
06/02/2025,TRADER JOES,-178.78
06/02/2025,PLANET FITNESS,-39.0
06/05/2025,NETFLIX,-15.49
06/06/2025,AMAZON,-45.98
06/06/2025,SHELL,-66.1
06/08/2025,SPOTIFY,-11.99
06/09/2025,TARGET,-178.15
06/10/2025,PG&E,-86.46
06/10/2025,SHELL,-55.03
06/12/2025,COMCAST,-79.99
06/12/2025,DOORDASH,-66.6
06/13/2025,CHIPOTLE,-14.33
06/14/2025,WHOLEFDS,-139.78
06/14/2025,AMAZON,-18.28
06/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
06/16/2025,WHOLEFDS,-125.87
06/18/2025,ATT,-65.0
06/23/2025,DOORDASH,-25.58
06/27/2025,WHOLEFDS,-70.55
06/27/2025,COSTCO,-162.95
06/27/2025,STARBUCKS,-20.01
06/30/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
07/01/2025,RENT,-2100.0
07/01/2025,BLUE BOTTLE,-47.93
07/02/2025,PLANET FITNESS,-39.0
07/04/2025,ZELLE TRANSFER,-156.47
07/05/2025,SAFEWAY,-83.61
07/05/2025,DOORDASH,-15.1
07/05/2025,NETFLIX,-15.49
07/08/2025,BEST BUY,-69.67
07/08/2025,SPOTIFY,-11.99
07/10/2025,PG&E,-89.98
07/10/2025,SAFEWAY,-172.9
07/11/2025,TARGET,-157.41
07/12/2025,COMCAST,-79.99
07/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
07/16/2025,STARBUCKS,-45.2
07/18/2025,ATT,-65.0
07/20/2025,BEST BUY,-129.99
07/21/2025,SAFEWAY,-167.97
07/21/2025,AMAZON,-209.92
07/22/2025,BEST BUY,-129.99
07/23/2025,COSTCO,-39.8
07/23/2025,STARBUCKS,-36.08
07/25/2025,CHEVRON,-35.71
07/25/2025,WHOLEFDS,-138.24
07/29/2025,CHEVRON,-53.7
07/29/2025,COSTCO,-98.17
07/29/2025,BEST BUY,-156.73
07/31/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
08/01/2025,RENT,-2100.0
08/02/2025,AMZN Mktp,-174.97
08/02/2025,PLANET FITNESS,-39.0
08/05/2025,NETFLIX,-15.49
08/08/2025,SPOTIFY,-11.99
08/10/2025,PG&E,-135.19
08/10/2025,BLUE BOTTLE,-19.09
08/12/2025,COMCAST,-79.99
08/13/2025,BEST BUY,-220.63
08/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
08/15/2025,SAFEWAY,-43.39
08/15/2025,SHELL,-35.85
08/16/2025,BEST BUY,-25.22
08/17/2025,WHOLEFDS,-57.87
08/18/2025,ATT,-65.0
08/19/2025,BEST BUY,-89.73
08/22/2025,SHELL,-41.99
08/26/2025,CHIPOTLE,-17.64
08/27/2025,ZELLE TRANSFER,-109.19
08/29/2025,STARBUCKS,-18.29
08/30/2025,WHOLEFDS,-30.65
08/30/2025,COSTCO,-92.62
08/31/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
08/31/2025,SAFEWAY,-150.65
09/01/2025,RENT,-2100.0
09/02/2025,PLANET FITNESS,-39.0
09/02/2025,SAFEWAY,-154.97
09/04/2025,WHOLEFDS,-167.97
09/05/2025,CHEVRON,-55.57
09/05/2025,NETFLIX,-15.49
09/08/2025,AMZN Mktp,-47.85
09/08/2025,SPOTIFY,-11.99
09/10/2025,BLUE BOTTLE,-60.22
09/10/2025,PG&E,-94.94
09/11/2025,ZELLE TRANSFER,-141.6
09/12/2025,COSTCO,-153.35
09/12/2025,COMCAST,-79.99
09/13/2025,WHOLEFDS,-103.8
09/14/2025,AMZN Mktp,-112.97
09/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
09/17/2025,CHEVRON,-53.51
09/18/2025,ATT,-65.0
09/18/2025,COSTCO,-27.88
09/19/2025,DOORDASH,-60.19
09/25/2025,BLUE BOTTLE,-73.63
09/26/2025,CHEVRON,-60.58
09/30/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
10/01/2025,RENT,-2100.0
10/02/2025,PLANET FITNESS,-39.0
10/05/2025,NETFLIX,-15.49
10/07/2025,DOORDASH,-16.85
10/08/2025,TRADER JOES,-171.82
10/08/2025,SPOTIFY,-11.99
10/09/2025,STARBUCKS,-54.55
10/10/2025,PG&E,-102.75
10/12/2025,COMCAST,-79.99
10/14/2025,TRADER JOES,-129.72
10/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
10/17/2025,STARBUCKS,-57.24
10/17/2025,CHEVRON,-40.5
10/18/2025,ATT,-65.0
10/20/2025,CHEVRON,-38.38
10/21/2025,COSTCO,-96.95
10/24/2025,TRADER JOES,-105.67
10/25/2025,DOORDASH,-50.41
10/25/2025,AMZN Mktp,-201.85
10/25/2025,BEST BUY,-74.55
10/30/2025,COSTCO,-124.41
10/30/2025,CHEVRON,-38.8
10/30/2025,AMAZON,-154.52
10/30/2025,TARGET,-37.34
10/31/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
11/01/2025,RENT,-2100.0
11/02/2025,PLANET FITNESS,-39.0
11/03/2025,DOORDASH,-59.88
11/04/2025,SAFEWAY,-111.59
11/04/2025,DOORDASH,-52.08
11/05/2025,NETFLIX,-15.49
11/05/2025,COSTCO,-39.16
11/08/2025,SPOTIFY,-11.99
11/09/2025,DOORDASH,-18.56
11/10/2025,PG&E,-87.13
11/12/2025,AMAZON,-571.45
11/12/2025,COMCAST,-79.99
11/13/2025,STARBUCKS,-30.35
11/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
11/15/2025,TRADER JOES,-103.62
11/16/2025,TRADER JOES,-115.93
11/17/2025,SHELL,-50.33
11/17/2025,AMZN Mktp,-295.43
11/18/2025,ATT,-65.0
