date,sleep_hours,resting_hr,steps
2025-09-01,6.73,72.4,4378
2025-09-02,6.88,66.6,8085
2025-09-03,7.83,67.7,10788
2025-09-04,5.01,70.0,11710
2025-09-05,5.7,69.6,7281
2025-09-06,5.52,75.7,9796
2025-09-07,4.67,76.5,8637
2025-09-08,6.32,69.9,13538
2025-09-09,7.75,65.5,9849
2025-09-10,6.72,64.6,7002
2025-09-11,7.2,68.5,13637
2025-09-12,8.09,72.7,3287
2025-09-13,8.33,68.2,13814
2025-09-14,6.93,69.0,3848
2025-09-15,8.35,68.2,5458
2025-09-16,7.09,66.7,11857
2025-09-17,6.16,71.1,10805
2025-09-18,6.41,71.4,13644
2025-09-19,5.52,72.8,10999
2025-09-20,6.11,73.4,9644
2025-09-21,6.64,71.4,6157
2025-09-22,7.8,69.7,2056
2025-09-23,8.72,65.2,3486
2025-09-24,5.62,74.6,5573
2025-09-25,7.39,72.5,2491
2025-09-26,5.96,70.1,8098
2025-09-27,7.47,67.3,11328
2025-09-28,6.87,72.9,13559
2025-09-29,5.17,73.3,7876
2025-09-30,7.93,71.0,12500
2025-10-01,6.39,70.3,13826
2025-10-02,6.47,74.0,12317
2025-10-03,5.93,72.4,7579
2025-10-04,6.35,71.8,5903
2025-10-05,7.43,72.3,13735
2025-10-06,6.81,69.7,4902
2025-10-07,7.33,67.5,6938
2025-10-08,7.36,68.4,2888
2025-10-09,8.32,68.3,11524
2025-10-10,6.66,67.6,9798
2025-10-11,5.52,74.2,3017
2025-10-12,8.07,66.8,4663
2025-10-13,6.67,73.0,8665
2025-10-14,8.11,63.0,8484
2025-10-15,7.38,67.7,11624
2025-10-16,6.87,66.9,5193
2025-10-17,7.35,67.6,13096
2025-10-18,8.95,66.6,7333
2025-10-19,9.08,65.5,11870
2025-10-20,7.07,69.4,4860
2025-10-21,7.16,69.4,2443
2025-10-22,8.08,68.3,2660
2025-10-23,6.15,69.7,6472
2025-10-24,7.33,70.7,13437
2025-10-25,6.97,71.4,2584
2025-10-26,7.31,70.1,6427
2025-10-27,6.17,72.8,3311
2025-10-28,5.41,73.8,13178
2025-10-29,4.93,78.2,10103
2025-10-30,5.88,72.1,11152
2025-10-31,6.54,70.3,10559
2025-11-01,6.71,69.1,9884
2025-11-02,8.94,64.1,11284
2025-11-03,8.11,65.3,2097
2025-11-04,6.04,70.1,12385
2025-11-05,7.35,69.2,10878
2025-11-06,6.59,71.5,10873
2025-11-07,6.72,70.7,6721
2025-11-08,7.19,68.1,11610
2025-11-09,7.62,70.6,6581
2025-11-10,6.66,72.2,2587
2025-11-11,8.06,67.6,12893
2025-11-12,5.86,71.0,4814
2025-11-13,7.01,71.1,3222
2025-11-14,9.6,65.2,9462
2025-11-15,7.22,66.7,4803
2025-11-16,8.43,67.0,12297
2025-11-17,7.09,70.3,7325
2025-11-18,7.58,67.0,2054
2025-11-19,6.94,70.5,13420
2025-11-20,6.83,67.4,8175
2025-11-21,6.22,74.2,5155
2025-11-22,7.43,71.6,10127
2025-11-23,6.15,71.2,8367
2025-11-24,7.67,69.4,2355
2025-11-25,8.09,63.0,11115
2025-11-26,7.37,67.0,6816
2025-11-27,6.71,70.0,10397
2025-11-28,7.45,66.9,12747
2025-11-29,6.69,72.0,9327
